"id","prevExp","jobResp","training","research","gathering","engage","metrics","socialMedia","degree","security","position","newsroom","researchFreq","engageFreq","subregion"
1753,"7","1:3,2:2,3:1,4:1,5:0,6:0,7:0,8:0,9:0,10:1,11:0,12:0,13:1,14:0,15:2,16:2,17:1,18:0,19:0,20:1,21:0,22:0,23:0,24:0,25:0","21,23,24","1,4,15","1,3,7,9,10,17,19,20","2,13,16","2","1:3,2:3,3:3,4:1,5:3,6:0,7:3,8:2,9:1,10:0,11:0,12:3","3","6,8","6",4,"1:3,2:1,3:0,4:2,5:0,6:0,7:1,8:1","1:3,2:0,3:0,4:0,5:0,6:0,7:0","Eurasia / Former USSR"
1755,"1","1:3,2:2,3:2,4:2,5:0,6:1,7:2,8:3,9:3,10:1,11:1,12:3,13:2,14:2,15:2,16:2,17:2,18:2,20:2,21:2,22:3,23:3,24:3,25:0","2,4,7,23,24","1,2,4,11,12,15","1,3,9,10,19,20,21","2,7,13,16","1,4,7,21","1:3,2:3,3:3,4:3,5:2,6:2,7:3,8:3,9:3,10:2,11:2,12:3","1","2,8","8",6,"1:3,2:2,3:3,4:3,5:2,6:2,7:2,8:3","1:3,2:1,3:3,4:3,5:1,6:2,7:3","Eurasia / Former USSR"
1756,"4,6","1:0,2:3,3:0,4:0,5:0,6:2,7:0,8:1,9:1,10:3,11:0,12:2,13:0,14:0,15:2,16:2,17:2,18:2,19:2,20:0,21:1,22:1,23:0,24:0,25:1","1,2,4,6,9,10,11,12,14,15,16,18,21,23,24","7,15","1,2,7,9,10,11,12,14,16,20","2,12,16","22","1:3,2:3,3:3,4:2,5:3,6:2,7:3,8:1,9:3,10:0,11:1,12:3","1","6,8","4",6,"1:3,2:3,3:0,4:2,5:2,6:0,7:3,8:2","1:1,2:0,3:0,4:0,5:0,6:0,7:0","Eurasia / Former USSR"
1760,"1,2,5,7","1:3,2:0,3:3,4:0,5:0,6:0,7:2,8:3,9:1,10:0,11:0,12:0,13:2,14:0,15:0,16:0,17:0,18:0,19:0,20:0,21:0,22:0,23:0,24:0,25:0","1,6,18,23,24","1,2,6,15","1,2,5,7,9,10,11,12,17,18,19,20","1,2,3,4,5,11,13,16","22","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","1","6,8","8",6,"1:3,2:3,3:0,4:3,5:2,6:3,7:2,8:2","1:0,2:0,3:0,4:3,5:3,6:0,7:0","Eurasia / Former USSR"
1762,"2,4","1:3,2:3,3:1,4:3,5:0,6:3,7:2,8:2,9:2,10:1,11:1,12:2,13:0,14:0,15:0,16:3,17:3,18:1,19:0,20:0,21:1,22:1,23:1,24:1,25:1","4,5,8,23,24","1,4,9,15","1,7,18,20","2,7,11,16","1,2","1:3,2:2,3:3,4:1,5:1,6:3,7:3,8:3,9:3,10:2,11:2,12:3","3","6,8","8",6,"1:3,4:3,6:3","1:03","Eurasia / Former USSR"
1763,"1,2,3,5","1:3,2:3,3:2,4:2,5:1,6:1,7:2,8:1,9:2,10:1,11:2,12:2,13:1,14:0,15:0,16:1,17:2,18:0,19:2,20:1,21:1,22:0,23:0,24:0,25:0","1,4,5,23,24","1,2,3,4,6,8,9,15","1,2,5,8,9,10,11,12,14,16,17,18,19,20","2,9,13,16","2,4,21","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:2,9:3,10:2,11:2,12:3","3,4","3,4,8","4",4,"1:3,2:3,3:1,4:3,5:2,6:3,7:3,8:3","1:3,2:3,3:1,4:2,5:2,6:2,7:2","Eurasia / Former USSR"
1764,"1,2,3","1:3,2:2,3:1,4:1,5:0,6:0,7:2,8:1,9:1,10:1,11:0,12:3,13:0,14:0,15:1,16:3,17:3,18:0,19:3,20:1,21:0,22:1,23:1,24:1,25:0","4,6,10,23,24","1,9,15","1,5,7,9,10,12,19,20","2,16","2,3,4,6,7,8,16,17","1:3,2:3,3:3,4:2,5:2,6:3,7:3,8:3,9:3,10:0,11:0,12:3","1,3","7,8","5",4,"1:3,2:1,3:0,4:1,5:0,6:0,7:1,8:1","1:3,2:3,3:0,4:1,5:0,6:0,7:0","Eurasia / Former USSR"
1769,"1,2,3,4,6","1:3,2:3,3:2,4:2,5:2,6:3,7:3,8:3,9:3,10:2,11:3,12:3,13:1,14:1,15:1,16:3,17:3,18:2,19:2,21:3,22:3,23:3,24:3,25:3","2,4,7,23,24","1,4,15","1,2,5,7,10,12,13,14,18,19,20,21","1,2,3,4,7,13,16","6","1:3,2:3,3:3,4:1,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","3,4","6,8","5",4,"1:3,2:3,4:3,5:3,6:3,7:3,8:3","1:3,2:3,3:1,4:3,5:3,6:3,7:3","Eurasia / Former USSR"
1770,"1,3,5","1:3,2:3,3:0,4:0,5:0,6:1,7:0,8:1,10:2,11:3,12:3,13:0,14:0,15:1,16:3,17:3,18:0,19:0,20:0,22:3,23:0,24:0,25:1","2,8,12,23,24","1,4,6,9,11,15","1,2,5,7,8,9,10,11,12,16,17,18,20,21","2,3,7,11,16","2,4,5,6,8,9,10,11,12,14,18,19,20,21","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:0,11:0,12:3","1,4","3,8","6",1,"1:3,2:3,3:2,4:3,5:2,6:3,7:3,8:3","1:3,2:3,3:0,4:2,5:3,6:1,7:1","Eurasia / Former USSR"
1771,"1,4,6","1:3,2:2,3:1,4:1,5:1,6:1,7:2,8:2,9:3,10:3,11:1,12:2,13:1,14:2,15:2,16:2,17:2,18:2,19:1,20:2,21:2,22:2,23:2,24:3,25:2","2,4,19,23,24","1,4,9,15","1,2,3,5,7,8,9,12,13,14,16,17,19,20,21","1,2,13,16","1,2,6,17,19,20","1:2,2:2,3:3,4:3,5:2,6:3,7:3,8:2,9:3,10:2,11:3,12:2","3","2,4,8","4",1,"1:3,2:2,3:3,4:3,5:2,6:3,7:2,8:2","1:3,2:1,3:1,4:1,5:2,6:1,7:2","Eurasia / Former USSR"
1772,"1","1:3,2:0,3:0,4:0,5:0,6:2,7:0,8:3,9:0,10:0,11:0,12:0,13:0,14:0,15:0,16:1,17:1,18:0,19:0,20:0,21:0,22:0,23:0,24:1,25:0","21,23,24","1,4,12,15","1,9,10,12,16,18,19,20","2,5,9,13,16","1,2,3,4,7,8,9,10,20","1:3,2:3,3:3,4:1,5:3,6:2,7:3,8:2,9:3,10:1,11:1,12:3","1","7,8","4",4,"1:3,2:1,3:0,4:2,5:0,6:2,7:2,8:2","1:3,2:3,3:0,4:2,5:0,6:3,7:3","Eurasia / Former USSR"
1773,"7","1:3,2:0,3:0,4:0,5:1,6:2,7:1,8:2,9:1,10:1,11:1,12:2,13:0,14:0,15:1,16:3,17:3,18:3,19:3,20:2,21:3,22:3,23:3,24:3,25:2","1,2,3,23,24","1,4,9,10,12,15","1,2,8,11,12,14,16,17,18,20","1,2,3,9,11,13,16","22","1:3,2:3,3:3,4:2,5:3,6:3,7:3,8:3,9:3,10:1,11:1,12:3","1,4","8","4",4,"1:3,2:3,3:1,4:2,5:3,6:3,7:3,8:3","1:3,2:3,5:3,6:3","Eurasia / Former USSR"
1774,"2,3","1:3,2:2,3:1,4:1,5:0,6:0,7:3,8:2,9:2,10:2,11:2,12:3,13:0,14:0,15:2,16:2,17:2,18:1,19:1,20:2,21:1,22:2,23:0,24:2,25:2","2,4,18,23,24","1,3,4,15","1,2,5,9,10,12,18,19,20","2,5,11,16","2,18,19","1:2,2:3,3:2,4:2,5:3,6:3,7:3,8:1,9:2,10:2,11:2,12:3","3","3,4,8","8",4,"1:2,2:2,3:1,4:1,5:1,6:2,7:2,8:2","1:3,2:3,3:1,4:1,5:2,6:0,7:1","Eurasia / Former USSR"
1775,"1,3,5,6","1:2,2:3,3:0,4:0,5:0,6:1,7:2,8:2,9:3,10:3,11:1,12:2,13:0,14:0,15:1,16:1,17:0,18:3,19:2,20:2,21:2,22:1,23:1,24:3,25:1","1,6,17,23,24","1,4,10,15","1,3,7,9,12,20,21","1,2,7,13,16","1,2,4,5,7,11,13,16,18,19,20,21","1:3,2:3,3:2,5:3,6:3,7:3,8:2,9:3,10:2,11:2,12:3","1","2,8","7",6,"1:2,2:0,3:0,4:1,5:0,6:2,7:2,8:3","1:3,3:0,5:2,6:1,7:3","Eurasia / Former USSR"
1778,"2","1:3,2:3,3:3,4:3,5:2,6:2,7:2,8:2,9:1,10:1,11:1,12:2,13:3,14:1,15:1,16:3,17:3,18:2,19:2,20:2,21:1,22:1,23:2,24:2,25:1","1,3,4,23,24","4,15","1,2,3,9,10,11,12,14","2,4,5,16","1","1:3,2:3,3:2,4:2,5:1,6:3,7:3,8:2,9:2,10:3,11:3,12:2","1","6,8","8",4,"1:3,2:2,3:2,4:3,5:2,6:3,7:3,8:3","1:3,2:2,3:1,4:2,5:2,6:3,7:3","Eurasia / Former USSR"
1780,"2","1:2,2:3,3:1,4:1,5:2,7:3,8:3,9:3,10:3,11:1,12:3,13:2,14:3,15:3,16:3,17:3,18:2,19:2,20:2,21:3,22:3,23:3,24:3,25:3","1,3,15,23,24","1,4,6,15","1,2,5,7,8,9,11,15,20","2,9,11,16","2,4","1:3,2:2,3:3,4:2,5:1,6:3,7:2,8:2,9:2,10:2,11:2,12:2","null","6,8","6",4,"1:2,2:2,3:2,4:1,5:1,6:3,7:3,8:3","1:3,2:2,3:2,4:2,5:3,6:3,7:2","Eurasia / Former USSR"
1781,"2,4,6","1:2,2:2,3:0,4:1,5:0,6:0,7:2,8:2,9:3,10:3,11:2,12:2,13:2,14:0,15:2,16:2,17:2,18:0,19:1,20:2,21:2,22:2,23:1,24:0,25:2","2,4,15,23,24","7,15","1,2,9,11,14,21","1,2,13,16","2,4,5,6,17,18","1:2,2:3,3:2,4:2,5:2,6:2,7:1,8:1,9:2,10:1,11:1,12:2","3","6,8","4",4,"1:2,2:1,3:0,4:1,5:0,6:0,7:0,8:1","1:3,2:2,3:0,4:2,5:0,6:0,7:0","Eurasia / Former USSR"
1785,"1,3","1:3,2:3,3:3,4:3","1,2,23,24","1,7,9,12,15","1","2,16","1,2,4,6","1:3,2:2,4:2,6:3,7:2,8:3,9:3,10:3,11:3,12:3","1","4,8","8",4,"1:03","1:3,4:3,5:3","South Asia"
1786,"4","1:1,2:3,3:1,4:2,5:0,6:2,7:0,8:1,9:0,10:0,11:3,12:3,13:3,14:0,15:0,16:3,17:3,18:0,19:0,20:0,21:0,22:0,23:0,24:0,25:2","5,14,15,23,24","1,4,9,15","1,3,7,9,10,11,12,18,19,20","2,4,5,7,11,16","null","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","1","6,8","4",4,"1:3,2:1,3:0,4:3,5:3,6:3,7:1,8:1","1:3,2:3,4:3,5:3","Eurasia / Former USSR"
1788,"6","1:1,2:2,3:1,4:2,5:0,6:1,7:0,8:1,9:0,10:1,11:1,12:1,13:0,14:0,15:1,16:1,17:1,18:1,19:1,20:0,21:0,22:1,23:0,24:0,25:0","1,5,15,23,24","1,4,9,15","1,2,3","1,2,16","22","1:1,2:2,3:3,4:1,6:3,7:2,8:2,9:1,10:0,11:0,12:0","3","6,8","4",1,"1:2,2:2,3:0,4:3,5:0,6:3,7:2,8:1","1:3,2:3","Eurasia / Former USSR"
1789,"1,2,3,6","1:3,2:3,3:1,4:2,5:0,6:2,7:3,8:3,9:2,10:1,11:1,12:3,13:2,14:0,15:2,16:3,17:3,18:1,19:1,20:1,21:3,22:3,23:2,24:2,25:3","2,7,21,23,24","1,4,6,15","1,2,5,9,12,18","1,2,11,16","1,2,4,5,6,7,16,17","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:1,11:1,12:2","3","6,8","8",1,"1:3,2:2,3:1,4:2,5:2,6:3,7:3,8:3","1:3,2:2,3:0,4:1,5:3,6:3,7:3","Eurasia / Former USSR"
1790,"3,4,6","1:3,2:3,6:3,10:3,11:2,15:1,17:3,22:3","3,4,5,23,24","1,4,11,15","1,3,9,12,18,20,21","1,2,13,16","1,2,7,13,17,20","1:3,2:3,3:3,4:3,6:3,7:3,10:3,11:3,12:3","1","2,8","7",6,"1:3,2:3,4:3,6:3,8:3","1:3,5:3,7:3","Eurasia / Former USSR"
1791,"1","1:3,2:3,3:0,4:1,5:0,6:0,7:0,8:2,9:2,10:0,11:2,12:0,13:0,14:0,15:2,16:0,17:0,18:0,19:0,20:0,21:2,22:2,23:0,24:2,25:2","1,7,15,23,24","1,4,15","1,3,5,10,12,16,20","1,2,16","2,3,8,10","1:3,2:3,3:3,4:2,5:3,6:1,7:3,8:3,9:2,10:0,11:0,12:0","1","6,8","8",1,"1:3,2:2,3:1,4:2,5:0,6:3,7:2,8:1","1:03","Eurasia / Former USSR"
1792,"4","1:3,2:3,3:2,4:2,5:1,6:1,7:1,8:1,9:1,10:1,11:1,12:1,13:1,14:1,15:1,16:1,17:1,18:1,19:1,20:1,21:1,22:1,23:2,24:1,25:1","1,2,5,23,24","4,15","1,8,9,10,17,20","2,16","2","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","2","6,8","8",4,"1:3,2:2,3:2,4:3,5:3,6:0,7:1,8:1","1:03","Eurasia / Former USSR"
1793,"1,4","1:3,2:3,3:0,4:1,5:0,6:3,7:2,8:2,9:2,10:2,11:1,12:1,13:0,14:1,16:2,17:2,18:2,19:0,20:0,21:1,22:1,23:1,24:1,25:2","5,10,19,23,24","3,4,9,15","1,8,12,14,19","2,3,13,16","7,12","1:3,2:3,3:2,4:1,5:2,6:3,7:2,8:2,9:3,10:1,11:1,12:3","1","2,8","4",4,"1:2,2:2,3:0,4:2,5:1,6:1,7:2,8:2","1:3,2:3,3:0,4:0,5:1,6:2,7:2","Eurasia / Former USSR"
1795,"1,3,6","1:1,2:2,3:0,4:1,5:0,6:3,7:1,8:3,9:2,10:2,11:1,12:2,13:1,14:0,15:1,16:3,17:3,18:0,19:0,20:0,21:1,22:2,23:0,24:0,25:2","1,5,7,23,24","4,7,9,15","1,3,5,7,8,9,10,11,12,18,19,20","2,11,13,16","1,2,7,8,9,14,18,20,21","1:3,2:1,3:2,4:2,5:2,6:3,7:2,8:3,9:3,10:2,11:2,12:2","3,4","6,8","4",4,"1:3,2:2,3:1,4:1,5:0,6:2,7:3,8:3","1:3,2:1,3:0,4:1,5:2,6:2,7:2","Eurasia / Former USSR"
1796,"7","1:2,2:1,3:0,4:1,5:0,6:0,7:1,8:3,9:1,10:0,11:1,12:0,13:0,14:0,15:0,16:0,17:0,18:0,19:1,20:0,21:0,22:0,23:0,24:2,25:0","1,2,4,5,6,7,8,10,19,20,23,24","1,4,6,15","1,2,5,7,8,9,10,11,12,14,17,18,19,20","14,16","22","1:3,2:2,3:3,4:2,5:2,6:1,7:2,8:3,9:3,10:2,11:2,12:3","1","3,8","8",1,"1:3,2:3,4:3,6:3,7:3,8:1","1:3,2:0,3:0,4:1,5:3,6:0,7:0","Eurasia / Former USSR"
1797,"3,5,6","1:3,2:2,3:1,4:1,6:3,8:3,9:3,10:3,12:2,13:1,15:3,17:3,18:3,20:3,21:3,22:2,23:2,24:1,25:1","4,6,19,23,24","1,4,7,15","1,2,3,4,8,9,10,11,12,13,14,17,18,19,20,21","2,7,13,16","2,5,7,9,11,16,17,20,21","1:2,2:2,3:3,4:2,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","3","6,8","4",4,"1:3,2:3,3:2,5:2,6:3,7:3,8:3","1:3,2:3,3:2,4:3,5:3,6:2,7:2","Eurasia / Former USSR"
1798,"1,3","1:3,2:3,3:1,4:1,5:0,6:2,7:3,8:0,9:0,10:0,11:0,12:3,13:0,14:0,15:0,16:3,17:3,18:2,19:2,20:0,21:0,22:0,23:0,24:0,25:0","3,6,8,23,24","4,15","1,2,5,13,20","2,13,16","5,6,11,12,18,21","1:1,2:3,3:3,4:1,5:2,6:2,7:3,8:2,9:1,10:2,11:2,12:2","3","2,8","5",4,"1:3,2:3,3:1,4:2,5:1,6:0,7:2,8:2","1:3,2:3,3:1,4:0,5:1,6:2,7:2","Eurasia / Former USSR"
1799,"2,4","1:3,2:3,3:3,5:1,6:0,7:3,8:3,9:3,10:2,11:3,12:3,13:2,14:0,15:3,16:2,17:2,18:3,19:3,20:1,21:3,22:1,24:0,25:0","2,4,5,9,10,15,23,24","1,4,15","1,2,5,10,19","2,4,8,11,13,16","2,4,16","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","null","4,5,8","1",6,"1:3,2:2,3:0,4:3,5:3,6:3,7:1,8:1","1:3,2:0,3:0,4:3,5:3,6:2,7:0","Eurasia / Former USSR"
1801,"2,6","1:3,2:2,3:1,4:1,5:1,6:1,7:1,8:1,9:2,10:0,11:0,12:0,13:0,14:0,15:0,16:0,17:0,18:0,19:0,20:1,21:1,22:1,23:1,24:1,25:1","2,4,19,23,24","1,4,15","1,2,5,7,9,10","1,2,16","6,16","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:2","3","2,3,8","6",1,"1:3,2:3,3:3,4:3,5:3,6:2,7:3,8:2","1:3,2:3,3:1,4:2,5:3,6:3,7:2","Eurasia / Former USSR"
1804,"5","1:3,2:3,3:2,4:3,5:2,6:3,7:3,8:3,9:3,10:3,11:3,12:3,13:3,14:2,15:3,16:3,17:3,18:3,19:3,20:3,21:3,22:3,23:2,24:3,25:3","2,9,13,23,24","1,3,4,15","1,2,3,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","2,8,13,16","2,5,7,8,15,18,19,20,21","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","3","2,4,8","4",4,"1:3,2:2,3:3,4:3,5:2,6:3,7:3,8:3","1:3,2:3,3:3,4:3,5:3,6:3,7:3","Eurasia / Former USSR"
1809,"7","1:0,2:3,3:1,5:1,7:2,8:2,9:2,10:2,11:2,12:3,13:3,14:2,15:2,16:2,17:2,18:2,19:1,20:2,21:2,22:2,23:1,24:3,25:2","1,2,10,23,24","3,15","1,3,5,7,8,9,11,12,19","2,16","6,7,19","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","1","6,8","8",1,"1:3,2:3,3:1,4:3,5:0,6:0,7:3,8:3","1:03","Eurasia / Former USSR"
1810,"6","22:01","7,22,23,24","1,4,15","1,3,9,12","14,16","22","2:3,5:3","1","6,8","7",4,"1:3,7:2,8:2","1:2,6:1,7:2","Eurasia / Former USSR"
1812,"1,3,4,5,6","1:3,2:2,3:0,4:1,5:0,6:0,7:1,8:3,9:3,10:2,11:2,12:3,13:0,14:0,15:2,16:3,17:1,18:0,19:1,20:0,21:2,22:1,23:0,24:0,25:1","5,16,17,23,24","1,4,15","1,2,3,5,7,8,9,10,11,12,16,18,19,20,21","1,2,4,9,13,16","22","1:3,2:3,3:3,4:1,5:2,6:3,7:3,8:3,9:2,10:0,11:0,12:1","1","6,8","5",1,"1:3,2:3,3:2,4:2,5:2,6:3,7:2,8:2","1:2,2:2,3:0,4:3,5:1,6:0,7:3","Eurasia / Former USSR"
1813,"2","1:3,2:2,3:0,4:0,5:0,6:2,7:2,8:2,9:3,10:1,11:1,12:0,13:0,14:0,15:0,16:2,17:3,18:3,19:1,20:2,21:2","3,4,7,23,24","3,4,6,15","1,8,9,12,13,17,19,20,21","2,3,13,16","2,7,8","1:3,2:3,3:2,4:1,5:1,6:3,7:2,8:2,9:1,10:1,11:2,12:3","3","6,8","8",4,"1:3,2:1,3:0,4:1,5:0,6:2,7:2,8:2","1:3,2:0,3:0,4:1,5:1,6:2,7:3","Eurasia / Former USSR"
1816,"1,4,6","1:3,2:1,3:1,4:1,5:0,6:0,7:0,8:3,9:3,10:3,11:3,12:3,13:1,14:0,15:3,16:0,17:2,18:2,19:0,20:1,21:1,22:1,23:2,24:1,25:3","2,4,8,23,24","1,4,7,15","3,7,9,14","2,7,11,16","1,2,4,5,6,9,17,21","1:3,2:3,3:3,4:3,5:3,6:2,7:3,8:3,9:3,10:3,11:3,12:3","1","2,8","5",4,"1:3,2:2,3:2,4:1,5:0,6:2,7:2,8:2","1:1,2:3,3:1,4:1,5:2,6:1,7:1","East and Southeast Asia"
1817,"2,4,6","1:3,2:0,3:0,4:0,5:1,6:2,7:1,8:3,9:3,10:3,11:2,12:2,13:1,14:0,15:2,16:1,17:1,18:1,19:1,20:0,21:3,22:1,23:2,24:0,25:1","2,4,15,17,18,20,23,24","7,8,9,15","1,2,3,7,9,10,11,12,14,16,17,18,20,21","1,2,7,16","2","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:1,12:3","1,4","6,8","8",1,"1:2,2:2,3:2,4:1,5:1,6:2,7:2,8:2","1:2,2:2,6:2","East and Southeast Asia"
1818,"1,3,4,5,6","1:3,2:2,3:1,4:2,5:1,6:1,7:2,8:3,9:3,10:3,11:3,12:3,13:2,14:0,15:1,16:2,17:2,18:2,19:2,20:3,21:3,22:3,23:2,24:3,25:3","4,11,23,24","1,4,9,15","1,2,5,7,8,9,10,11,12,13,14,15,17,18,19,20,21","2,11,16","1,2,3,5,15,17,21","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","1","1,8","5",3,"1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3","1:3,2:3,3:0,4:0,5:2,6:0,7:0","East and Southeast Asia"
1819,"7","1:2,2:0,3:0,4:2,5:0,6:0,7:2,8:2,9:3,10:3,11:2,12:1,13:0,14:0,15:3,16:2,17:0,18:0,19:0,20:0,21:0,22:0,23:0,24:0,25:3","1,6,18,23,24","1,4,15","1,2,9,18","2,4,11,16","22","1:3,2:3,3:3,4:2,5:3,6:1,7:3,8:3,9:3,10:1,11:2,12:3","3","6,8","8",6,"1:3,2:3,3:1,4:3,5:3,6:3,7:1,8:1","1:3,2:3,3:0,4:0,5:0,6:0,7:0","East and Southeast Asia"
1822,"1,2,3","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:2,9:2,10:2,11:3,12:3,13:3,14:2,15:2,16:3,17:2,18:2,19:2,20:2,21:2,22:2,23:2,24:3,25:2","1,2,9,23,24","1,2,3,4,5,6,8,15","1,2,10,11,19","1,2,3,4,5,13,16","22","3:3,4:3,6:3,7:3","3","2,3,4,5,8","6",6,"1:3,2:3,3:0,4:3,5:3,6:0,7:0,8:0","1:3,2:3,4:3,5:3","North America"
1823,"2,5,6","1:3,2:3,3:2,4:2,5:2,6:3,7:2,8:2,9:3,10:3,11:3,12:3,13:2,14:2,15:2,16:3,17:3,18:2,19:1,20:2,21:0,22:3,23:2,24:1,25:3","1,2,23,24","1,4,15","3,7,12,14","2,16","5,6,19","1:3,2:3,3:3,4:1,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","1","6,8","8",6,"1:3,2:0,3:0,4:0,5:2,6:2,7:3,8:3","1:3,2:3,3:2,4:2,5:1,6:2,7:2","East and Southeast Asia"
1824,"7","1:0,2:0,3:0,4:0,5:0,6:1,7:1,8:1,9:1,10:2,11:0,12:0,13:0,14:0,15:1,16:0,17:1,18:0,19:0,20:0,21:0,22:0,23:0,24:0,25:2","21,23,24","1,4,6,15","7,9","1,2,11,16","2","1:3,2:3,3:3,4:3,5:3,6:1,7:3,8:1,9:2,10:1,11:1,12:3","3","6,8","8",6,"1:2,2:3,3:0,4:0,5:0,6:3,7:2,8:2","1:2,2:2,3:0,4:0,5:2,6:0,7:0","East and Southeast Asia"
1828,"7","1:2,2:2,3:0,4:0,5:0,6:1,7:1,8:0,9:2,10:3,11:2,12:2,13:0,14:0,15:3,16:1,17:1,18:0,19:0,20:0,21:0,22:0,23:0,24:0,25:2","8,11,23,24","1,4,15","7,8,9,12,18","11,16","2,5","1:3,2:3,3:3,4:2,5:2,6:0,7:3,8:3,9:1,10:2,11:2,12:3","1,4","6,8","5",1,"1:0,2:0,3:0,4:0,5:0,6:3,7:2,8:2","1:0,2:2,3:0,4:0,5:2,6:0,7:2","East and Southeast Asia"
1829,"3","1:3,2:1,3:2,4:2,5:1,6:1,7:2,8:1,9:3,10:3,11:3,12:3,13:2,14:1,15:3,16:3,17:3,18:2,19:1,20:1,21:1,22:1,23:3,24:3,25:2","1,2,5,23,24","1,4,15","7,9,10,11,18","1,2,11,16","1,2,5","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","1","6,8","5",6,"1:3,2:2,3:2,4:2,5:2,6:3,7:2,8:2","1:3,2:3,3:1,4:1,5:3,6:1,7:1","East and Southeast Asia"
1832,"1,3,5","1:3,2:3,3:2,4:2,5:1,6:1,7:1,8:1,9:3,10:3,11:3,12:2,13:2,14:1,15:3,16:3,17:3,18:2,19:2,20:1,21:2,22:2,23:2,24:1,25:1","2,4,9,23,24","1,4,9,15","1,2,5,9,10,16,17,18,20,21","2,4,11,16","2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,20,21","1:3,2:3,3:2,4:2,5:2,6:2,7:3,8:3,9:3,10:1,11:1,12:1","1","2,3,4,8","5",4,"1:3,2:3,3:2,4:3,5:2,6:3,7:1,8:1","1:3,2:3,3:2,4:2,5:3,6:1,7:1","East and Southeast Asia"
1833,"3","1:0,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:0,10:0,11:1,12:1,13:0,14:0,15:1,16:2,17:2,18:0,19:0,20:2,21:0,22:0,23:3,24:1,25:2","5,11,23,24","1,4,12,15","7,9,18","2,11,13,16","2,4,18,21","1:3,2:3,3:3,4:1,5:3,6:2,7:3,8:3,9:3,10:3,11:3,12:3","3","6,8","5",6,"1:2,2:2,3:1,4:2,5:0,6:3,7:2,8:3","2:3,5:3","East and Southeast Asia"
1834,"7","1:2,2:1,3:3,4:2,5:1,6:1,7:3,8:2,9:2,10:1,11:3,12:2,13:2,14:1,15:2,16:2,17:2,18:1,19:1,20:2,21:1,22:1,23:2,24:2,25:2","1,2,5,23,24","1,2,3,4,5,6,15","1,2,3,4,5,7,9,10,12,17,18,20","1,2,3,16","1,16,21","1:3,2:3,3:3,4:3,5:3,6:2,7:3,8:3,9:3,10:3,11:2,12:2","1","6,8","8",6,"1:2,2:2,3:2,4:2,5:1,6:3,7:2,8:3","1:2,2:2,3:1,4:1,5:3,6:2,7:2","East and Southeast Asia"
1836,"1","1:3,2:3,3:3,4:3,5:2,6:2,7:3,8:3,9:3,10:2,11:3,12:3,13:3,14:2,15:2,16:2,17:2,18:0,19:0,20:2,21:3,22:2,23:2,24:2,25:3","1,2,9,23,24","1,3,4,15","1,2,3,7,9,10,11,20","2,16","2,11,21","1:2,2:3,3:3,4:3,5:3,6:2,7:3,8:1,9:3,10:2,11:2,12:2","1","6,8","8",6,"1:3,2:2,3:0,4:2,5:0,6:0,7:0,8:3","1:2,2:2,3:0,4:2,5:3,6:0,7:3","Sub-Saharan Africa"
1841,"7","1:3,3:2,4:0,5:0,6:0,7:0,8:3,9:2,10:2,11:2,13:1,16:3,17:3,18:2,19:0,20:0,21:0,22:0,23:3,24:3,25:3","1,4,5,10,13,14,15,16,17,19,23,24","4,9,15","1,2,9,10,11,12,14,15,17,19,20","2,13,16","22","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:1,11:3,12:3","1","6,8","8",2,"1:3,2:3,3:3,4:3,5:0,6:0,7:3,8:3","1:3,2:3,3:3,4:3,5:0,6:3,7:3","Sub-Saharan Africa"
